random	noun/verb	location	#1 String	#2 String
break	V	4-3	The newsman wanted to break a big story , something that would make him famous .	The business partners broke over a tax question
improbability	N	1-6	the improbability of such rare coincidences	impossibility should never be confused with improbability
face	N	6-1	He managed to show a bold face despite his embarrassment .	the face of the city is changing
connect	V	3-2	This computer will connect well to the network .	These computers connected well .
fall	V	0-0	fall prey to an imposter	fall into a trap
heart	N	1-1	the heart and soul of the Republican Party	The heart and soul of any democracy is its electorate .
take	V	3-0	I used to take The Sunday Times .	Take a cookie !
tact	N	4-2	By the use of tact , she was able to calm her jealous husband .	I used tact when I told my fat uncle that his extra weight made him look better .
set	N	3-7	the subjects ' set led them to solve problems the familiar way and to overlook the simpler solution	his instructions deliberately gave them the wrong set
back	N	1-4	the back of the dental chair was adjustable	he stood at the back of the stage
hand	N	2-3	a ranch hand	Give him a hand .
take	V	5-0	I estimate the trip will take about ten minutes .	Take any one of these cards
action	N	4-6	he is out of action	the piano had a very stiff action
get	V	2-3	did you get it ?	She did n't get the joke
run	N	3-3	she got a run in her stocking	I have a run in my stocking .
piece	N	3-3	he sacrificed a piece to get a strategic advantage	he needed a piece of granite
operation	N	8-5	they paid taxes on every stage of the operation	a large - scale farming operation
normalize	V	0-0	normalize relations with China	normalize the temperature
take	V	2-0	I 'll take that plate off the table .	Take the case of China
water	N	7-6	He showed me the river of living water , sparkling like crystal , flowing from the throne of God .	he asked for a drink of water
keep	V	9-1	Our grant has run out and we can not keep you on	We kept the work going as long as we could
turn	V	0-0	turn a key	turn the dial to 10
point	N	2-3	the main point on the agenda was taken up first	what is the point of discussing it ?
baby	N	3-1	When is your baby due ?	the baby of the Supreme Court
stand	V	3-0	Where do you stand on the War ?	standing water
class	N	5-1	she has a lot of class	The class of all sets is not a set .
keep	V	0-2	keep appointments	The students keep me on my toes
origin	N	1-1	mineral origin	vegetable origins
charge	V	4-2	How much do you charge for lunch ?	The speaker charged up the crowd with his inflammatory remarks
draw	V	1-2	To draw a memorial , a deed , or bill of exchange	The comedian drew a lot of laughter
carry	V	1-2	I carry her image in my mind 's eye	This paper carries a restaurant review
score	N	2-1	settling a score	the score was 7 to 0
cut	V	0-0	cut my hair	cut the engine
gather	V	2-0	Let 's gather in the dining room	gather some stones
foot	N	1-2	the foot of the mountain	his bare feet projected from his trousers
recognition	N	2-1	give her recognition for trying	molecular recognition drives all of biology , for instance , hormone and receptor or antibody - antigen interactions or the organization of molecules into larger biologically active entities
plane	N	7-4	any line joining two points on a plane lies wholly on that plane	the cabinetmaker used a plane for the finish work
break	V	6-4	I do n't know how to break this to you , but your cat is not coming back .	The newsman wanted to break a big story , something that would make him famous .
dig	V	0-0	dig coal	dig out a channel
course	N	3-4	he took a course in basket weaving	she prepared a three course meal
flick	V	0-2	flick a piece of paper across the table	The lights flicked on and off
follow	V	0-0	follow the trail	Follow a pattern
word	N	5-4	he did n't say a word about it	Can I have a word with you ?
return	N	1-12	in return we gave them as good as we got	his gross income was enough that he had to file a tax return
gravitation	N	1-0	the gravitation between two bodies is proportional to the product of their masses and inversely proportional to the square of the distance between them	Gravitation är svagare än elektromagnetismen , men påverkar all materia och energi .
connect	V	3-2	This computer will connect well to the network .	Can you connect the two loudspeakers ?
drink	V	6-3	No thanks , I do n't drink .	We were up drinking all night
water	N	5-4	they were sitting by the water 's edge	they invaded our territorial waters
hit	V	3-2	The temperature could hit 110 F tomorrow .	The thermometer hit 100 degrees
sign	N	6-4	Their angry expressions were a clear sign they did n't want to talk .	The hunters found deer sign at the end of the trail .
keep	V	0-1	keep my job for me while I give birth	he keeps bees
direction	N	4-3	they proposed a new direction for the firm	he checked the direction and velocity of the wind
admit	V	1-2	To admit evidence in the trial of a cause	This pipe admits air
cut	V	0-0	cut a hole	cut trenches
ground	N	6-2	they fought to regain the lost ground	they gained ground step by step
purchase	V	5-1	$ 50 wo n't even purchase a dress .	Carmen purchased a dress for $ 50 .
institution	N	1-4	the institution of slavery	he had become an institution in the theater
cut	V	0-0	cut the noise	cut a caper
sale	N	3-8	they held a sale to reduce their inventory	I got some great bargains at their annual sale
throw	V	0-2	throw accusations at someone	The horse threw its inexperienced rider
unit	N	1-6	a unit of wheat is a bushel	the word is a basic linguistic unit
strike	V	2-2	We must strike the enemy 's oil fields	The Germans struck Poland on Sept. 1 , 1939
water	N	7-7	the town debated the purification of the water supply	first you have to cut off the water
fail	V	6-6	Where do today 's public schools fail ?	The attempt to rescue the hostages failed miserably
head	N	1-6	the head of the list	A reduction in the assessment per head of sheep
draw	V	0-2	draw pulp from the fruit	This horse draws well .
leave	V	3-4	She wants to leave	His good luck finally left him
line	N	2-5	A dedicated line	Please speak up , the line is very faint .
stretch	N	10-8	To say crossing the street was brave was quite a stretch .	I was right in the middle of a stretch when the phone rang .
antique	V	0-2	antique furniture	We went antiquing on Saturday
fill	N	4-11	she had heard her fill of gossip	Do n't feed him any more : he 's had his fill .
head	N	2-7	under the head of minor Roman poets	We will consider performance issues under the head of future improvements .
be	V	4-1	When will the meeting be ?	There were two hundred people at his funeral
chance	N	3-3	We had the chance to meet the president last week .	now is your chance
copy	N	4-3	the clone was a copy of its ancestor	she made a copy of the designer dress
block	V	0-0	block a muscle	block a nerve
use	V	2-1	We can use this mathematical formula to solve the problem .	She uses her influential friends to get jobs
fire	N	8-2	they retreated in the face of withering enemy fire	hold your fire until you can see the whites of their eyes
face	N	4-4	dew dripped from the face of the leaf	They climbed the north face of the mountain .
key	N	1-1	the key to development is economic integration	The key to solving this problem is persistence .
purchase	V	5-2	$ 50 wo n't even purchase a dress .	The family purchased a new car
action	N	9-1	gawkers always try to get as close to the action as possible	the action is no longer in technology stocks but in municipal bonds
furniture	N	6-9	there was only one piece of furniture in the room	The woman does not even have one stick of furniture moved in yet .
take	V	4-1	Tomorrow the doctor will take the cast off her arm .	He took off his shoes .
discover	V	10-1	The story is false , so far as I can discover	I discovered how to do it .
trial	N	5-1	candidates must compete in a trial of skill	the trials for the semifinals began yesterday
advance	V	1-1	To advance one 's interests	To advance the ripening of fruit
throw	V	6-0	Throw a shoe ;     throw a javelin ;     the horse threw its rider	Throw a glance
make	V	3-3	This invention will make you a millionaire	This salary increase makes no difference to my standard of living
connection	N	1-4	the connection between church and state is inescapable	My headache has no connection with me going out last night .
pay	V	3-1	Crime does n't pay ;     it will pay to wait	It pays to go through the trouble
operation	N	2-6	the cognitive operation of remembering	that rule is no longer in operation
ditch	V	0-0	ditch a car	ditch a plane
laugh	V	4-1	Paul laughed a cheerful laugh .	She laughed her excitement .
run	V	8-3	These dyes and colors are guaranteed not to run	The sale will run for ten days .
